accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning,filtered_date,century,_primaryPlace_cleaned,countries_place,country,place,technique_filtered,color,coordinates,latitude,longitude
C.235-1910,1910.0,O496554,vase,,Kutani,unknown,,17th century or 18th century,2010EB0106,porcelain,glazed,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1600-1700,17.0,kutani,"kutani, japan",japan,kutani,glazed,,"35.6275995, 134.5170027",35.6275995,134.5170027
370-1884,1884.0,O496500,bottle,,China,,,1368-1644,2021MY7157,porcelain,glazing,,in store,False,False,1368-1644,14.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
371-1884,1884.0,O496499,vase,,China,unknown,,1368-1644,2010EB0262,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1368-1644,14.0,china,china,,china,blue and white,blue and white,"39.9057136, 116.3912972",39.9057136,116.3912972
373-1887,1887.0,O496495,vase,,China,unknown,,1644-1661,2010EA0509,porcelain,painted,qing,"ceramics, room 136, the curtain foundation gallery",False,False,1644-1661,17.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.48-1930,1930.0,O496481,vase,,Japan,unknown,,16th century,2020ML8999,porcelain,blue and white,blue and white (asia),in store,False,False,1500-1600,16.0,japan,japan,,japan,blue and white,blue and white,"35.6768601, 139.7638947",35.6768601,139.7638947
C.130&A-1937,1937.0,O496479,box and cover,,Japan,unknown,,18th century,2010EB0326,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1700-1800,18.0,japan,japan,,japan,blue and white,blue and white,"35.6768601, 139.7638947",35.6768601,139.7638947
360&A-1877,1877.0,O496452,incense burner and lid,,Hirado,unknown,,ca. 1830-1850,2010DR7585,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1830-1850,19.0,hirado,"hirado, japan",japan,hirado,blue and white,blue and white,"33.3680705, 129.5539153",33.3680705,129.5539153
79-1891,1891.0,O496449,vase,,China,,,,,porcelain,glazing,,in store,False,False,,,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.359-1931,1931.0,O496446,vase,,Jingdezhen,unknown,,1736-1795,2010EB7985,porcelain,painted,qianlong,"ceramics, room 137, the curtain foundation gallery",False,False,1736-1795,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
FE.22&A-1970,1970.0,O496433,planter and stand,,China,,,18th century,2010EE0311,porcelain,glazing,,in store,False,False,1700-1800,18.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
365-1877,1877.0,O496421,candlestick,,Himeji,unknown,,ca. 1800-1850,2010DD4694,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1800-1850,19.0,himeji,"himeji, japan",japan,himeji,blue and white,blue and white,"34.8153529, 134.6854793",34.8153529,134.6854793
C.1497-1910,1910.0,O496409,ewer,,Arita,unknown,,ca. 1650-1700,2010EA1147,porcelain,painted,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1700,17.0,arita,"arita, japan",japan,arita,painted,,"33.192301, 129.8669613",33.192301,129.8669613
C.19-1915,1915.0,O496405,dish,,Arita,unknown,,ca. 1650-1675,2010CV1920,porcelain,painted,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1675,17.0,arita,"arita, japan",japan,arita,painted,,"33.192301, 129.8669613",33.192301,129.8669613
C.830-1920,1920.0,O496404,jar,,Arita,unknown,,about 1650-1675,2010CT5996,porcelain,painted,kakiemon,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1675,17.0,arita,"arita, japan",japan,arita,painted,,"33.192301, 129.8669613",33.192301,129.8669613
C.388-1922,1922.0,O496403,candlestick,,Arita,unknown,,ca. 1700-1725,2010EA5322,porcelain,painted,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1700-1725,18.0,arita,"arita, japan",japan,arita,painted,,"33.192301, 129.8669613",33.192301,129.8669613
C.98-1956,1956.0,O496396,dish,,Jingdezhen,unknown,,ca. 1735-1740,2010ED0763,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1735-1740,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
306-1865,1865.0,O496354,tray,,Seto,unknown,,ca. 1850-1860,2010EA7558,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1850-1860,19.0,seto,"seto, japan",japan,seto,blue and white,blue and white,"35.2238601, 137.0840005",35.2238601,137.0840005
C.318-1918,1918.0,O496311,bottle,,Jingdezhen,,,circa 1700,2009CC7096,porcelain,painting,qing,"ceramics, room 145",False,False,1700,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.328&A-1918,1918.0,O496308,jar and lid,,Jingdezhen,unknown,,1662-1722,2010ED2694,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1662-1722,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
363-1874,1874.0,O496189,vase,,China,,,,,porcelain,enamelling,,in store,False,False,,,china,china,,china,enamelled,,"39.9057136, 116.3912972",39.9057136,116.3912972
91-1887,1887.0,O496183,pair of vases,,China,,,1662-1722,,porcelain,underglazing,,"ceramics, room 137, the curtain foundation gallery",False,False,1662-1722,17.0,china,china,,china,underglazing,,"39.9057136, 116.3912972",39.9057136,116.3912972
CIRC.678-1931,1931.0,O496148,dish,,China,unknown,,1644-1661,2010EA0846,porcelain,painted,qing,"ceramics, room 136, the curtain foundation gallery",False,False,1644-1661,17.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
CIRC.685-1931,1931.0,O496145,dish,,Jingdezhen,unknown,,1644-1911,2010EC2362,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1644-1911,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
1988-1855,1855.0,O496085,dish,,Jingdezhen,unknown,,ca. 1730-1740,2010EC2265,porcelain,painted,qing,"ceramics, room 136, the curtain foundation gallery",False,False,1730-1740,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
292-1865,1865.0,O496080,dish,,Imari,unknown,,ca. 1850-1860,2010EA8398,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1850-1860,19.0,imari,"imari, japan",japan,imari,blue and white,blue and white,"33.2644557, 129.8808439",33.2644557,129.8808439
299-1865,1865.0,O496076,dish,,Imari,unknown,,ca. 1850-1860,2010EA8480,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1850-1860,19.0,imari,"imari, japan",japan,imari,blue and white,blue and white,"33.2644557, 129.8808439",33.2644557,129.8808439
1724-1876,1876.0,O496059,dish,,Arita,unknown,,1660-1680,2007BM7311,porcelain,glazed,edo,"ceramics, room 145",False,False,1660-1680,17.0,arita,"arita, japan",japan,arita,glazed,,"33.192301, 129.8669613",33.192301,129.8669613
597-1877,1877.0,O496050,vase,,Himeji,unknown,,19th century,2010EB0081,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1800-1900,19.0,himeji,"himeji, japan",japan,himeji,blue and white,blue and white,"34.8153529, 134.6854793",34.8153529,134.6854793
317&A-1879,1879.0,O496049,box,,Seto,unknown,,19th century,2010EA7610,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1800-1900,19.0,seto,"seto, japan",japan,seto,blue and white,blue and white,"35.2238601, 137.0840005",35.2238601,137.0840005
318-1879,1879.0,O496048,teapot,,Seto,unknown,,19th century,2010DE8388,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1800-1900,19.0,seto,"seto, japan",japan,seto,blue and white,blue and white,"35.2238601, 137.0840005",35.2238601,137.0840005
C.408-1922,1922.0,O496018,vase,,Japan,unknown,,19th century,2010EB0418,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1800-1900,19.0,japan,japan,,japan,blue and white,blue and white,"35.6768601, 139.7638947",35.6768601,139.7638947
CIRC.436-1931,1931.0,O496004,dish,,Jingdezhen,unknown,,1644-1911,2010EA5577,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1644-1911,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
CIRC.467-1931,1931.0,O495911,dish,,China,unknown,,1662-1722,2019MK9322,porcelain,painted,qing,in store,False,False,1662-1722,17.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
CIRC.679-1931,1931.0,O495892,dish,,China,unknown,,1644-1661,2010EA0703,porcelain,painted,qing,"ceramics, room 136, the curtain foundation gallery",False,False,1644-1661,17.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.224-1910,1910.0,O495872,vase,,Kutani,,,1900-1910,2010EB0331,porcelain,glazed,meiji,"ceramics, room 137, the curtain foundation gallery",False,False,1900-1910,20.0,kutani,"kutani, japan",japan,kutani,glazed,,"35.6275995, 134.5170027",35.6275995,134.5170027
CIRC.372-1910,1910.0,O495834,dish,,Jingdezhen,unknown,,1522-1566,2010EB1520,porcelain,painted,jiajing,"ceramics, room 137, the curtain foundation gallery",False,False,1522-1566,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
CIRC.419-1931,1931.0,O495810,vase,,Jingdezhen,unknown,maker,1630-44,2009CD2678,porcelain,painting (image-making),ming,"ceramics, room 145",False,False,1630-1644,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
1783-1876,1876.0,O495795,jar and lid,,China,,,19th century,2019MJ9429,porcelain,glazing,,in store,False,False,1800-1900,19.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
249-1905,1905.0,O495782,vase,,China,qianlong,emperor,1736-1795,2019ML0237,porcelain,glazed,,in store,False,False,1736-1795,18.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.346-1910,1910.0,O495664,vase,,Jingdezhen,unknown,,1723-1735,2010EL4523,porcelain,glazed,yongzheng,"ceramics, room 136, the curtain foundation gallery",False,False,1723-1735,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1268-1910,1910.0,O495658,vase,,Jingdezhen,unknown,,1662-1722,2010DY9975,porcelain,painted,kangxi,"ceramics, room 136, the curtain foundation gallery",False,False,1662-1722,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
FE.20-1983,1983.0,O495635,jar,,China,unknown,,1506-1521,2010EA9549,porcelain,painted,polychrome,"ceramics, room 137, the curtain foundation gallery",False,False,1506-1521,16.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.110-1929,1929.0,O495634,dish,,Jingdezhen,unknown,,1522-1566,2010CT5960,porcelain,painted,polychrome,"ceramics, room 137, the curtain foundation gallery",False,False,1522-1566,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1161-1917,1917.0,O495540,vase,,Kutani,unknown,,second half of 19th century,2010EA7606,porcelain,painted,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1850-1900,19.0,kutani,"kutani, japan",japan,kutani,painted,,"35.6275995, 134.5170027",35.6275995,134.5170027
890&PART-1869,1869.0,O495375,candlestick,,Seto,unknown,,ca. 1865,2010EA8602,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1865,19.0,seto,"seto, japan",japan,seto,blue and white,blue and white,"35.2238601, 137.0840005",35.2238601,137.0840005
1642A-1876,1876.0,O495373,sprinkler,,Jingdezhen,unknown,,1662-1722,2010EB8973,porcelain,painted,kangxi,"ceramics, room 137, the curtain foundation gallery",False,False,1662-1722,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1197-1917,1917.0,O495333,vase,,Jingdezhen,unknown,,1736-1795,2010EA0990,porcelain,painted,qianlong,"ceramics, room 136, the curtain foundation gallery",False,False,1736-1795,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1268-1917,1917.0,O495332,vase,,Jingdezhen,unknown,,1662-1722,,porcelain,blue and white,kangxi,in store,False,False,1662-1722,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.326-1918,1918.0,O495295,vase,,Jingdezhen,unknown,,1662-1722,,porcelain,blue and white,blue and white (asia),in store,False,False,1662-1722,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
375-1903,1903.0,O495258,jar,,China,,,1522-1566,2019MK6841,porcelain,underglazing,,in store,False,False,1522-1566,16.0,china,china,,china,underglazing,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.386-1910,1910.0,O495243,vase,,China,unknown,,1800-1900,2010DR7431,porcelain,glazing,,"ceramics, room 136, the curtain foundation gallery",False,False,1800-1900,19.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.572-1910,1910.0,O495241,dish,,China,,,1573-1620,2021NA2003,porcelain,glazing,,in store,False,False,1573-1620,16.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.538-1922,1922.0,O495218,dish,,China,,,1573-1619,2021NA2002,porcelain,glazing,,in store,False,False,1573-1619,16.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.728-1923,1923.0,O495215,dish,,China,,,1368-1644,2021MY7171,porcelain,glazing,,in store,False,False,1368-1644,14.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
353&A-1877,1877.0,O495131,incense burner and lid,,Arita,unknown,,ca. 1800-1850,2010EA5330,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1800-1850,19.0,arita,"arita, japan",japan,arita,blue and white,blue and white,"33.192301, 129.8669613",33.192301,129.8669613
356-1877,1877.0,O495130,dish,,Hirado,unknown,,ca. 1830-1850,2010EA0793,porcelain,blue and white,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1830-1850,19.0,hirado,"hirado, japan",japan,hirado,blue and white,blue and white,"33.3680705, 129.5539153",33.3680705,129.5539153
CIRC.116-1935,1935.0,O494979,bottle,,Jingdezhen,unknown,,1279-1368,2010EA7567,porcelain,moulded,qingbai,"ceramics, room 137, the curtain foundation gallery",False,False,1279-1368,13.0,jingdezhen,"jingdezhen, china",china,jingdezhen,moulded,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.54-1965,1965.0,O494973,dish,,Jingdezhen,unknown,,1723-1735,2010DY9932,porcelain,glazed,monochrome (asia),"ceramics, room 136, the curtain foundation gallery",False,False,1723-1735,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
FE.23-1980,1980.0,O494969,bottle,,Jingdezhen,unknown,,18th century,,porcelain,glazed,qing,in store,False,False,1700-1800,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.461-1918,1918.0,O494931,dish,,Jingdezhen,unknown,,1575-1610,2010EB1663,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1575-1610,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.463-1918,1918.0,O494930,dish,,Jingdezhen,unknown,,1610-1645,2010EB1803,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1610-1645,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.465-1918,1918.0,O494929,dish,,Jingdezhen,unknown,,1573-1620,2010EB1661,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1573-1620,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.466-1918,1918.0,O494928,dish,,Jingdezhen,unknown,,1575-1610,2010EB1802,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1575-1610,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.469-1918,1918.0,O494927,dish,,Jingdezhen,unknown,,1573-1620,2010EB1639,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1573-1620,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.539-1922,1922.0,O494925,dish,,Jingdezhen,unknown,,1600-1655,2010EB1758,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1600-1655,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.162-1923,1923.0,O494924,dish,,Jingdezhen,unknown,,1573-1620,2010EB1743,porcelain,blue and white,wanli,"ceramics, room 137, the curtain foundation gallery",False,False,1573-1620,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.163-1923,1923.0,O494923,dish,,Jingdezhen,unknown,,1573-1620,2010EB1497,porcelain,blue and white,wanli,"ceramics, room 137, the curtain foundation gallery",False,False,1573-1620,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.135-1928,1928.0,O494912,jar,,Jingdezhen,unknown,,1522-1566,2010EH1879,porcelain,painted,jiajing,"ceramics, room 137, the curtain foundation gallery",False,False,1522-1566,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.119-1929,1929.0,O494908,dish,,Jingdezhen,unknown,,1621-1627,2010CT5979,porcelain,painted,tianqi,"ceramics, room 137, the curtain foundation gallery",False,False,1621-1627,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.6-1955,1955.0,O494905,dish,,Jingdezhen,unknown,,ca. 1620-1640,2010CT6007,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1620-1640,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
CIRC.714-1931,1931.0,O494901,dish,,Jingdezhen,unknown,,1621-1627,2010EB1686,porcelain,painted,tianqi,"ceramics, room 137, the curtain foundation gallery",False,False,1621-1627,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.426-1922,1922.0,O494899,dish,,Jingdezhen,unknown,,1600-1700,2010EB1681,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1600-1700,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.64-1954,1954.0,O494898,vase,,Jingdezhen,unknown,,1450-1500,2010CV2028,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1450-1500,15.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.574-1919,1919.0,O494893,dish,,Jingdezhen,unknown,,1573-1620,2010EB1687,porcelain,painted,wanli,"ceramics, room 137, the curtain foundation gallery",False,False,1573-1620,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.677-1920,1920.0,O494891,dish,,China,unknown,,1650-1750,2010EB1526,porcelain,glazed,polychrome,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1750,17.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.596-1921,1921.0,O494889,jar,,Jingdezhen,unknown,,1500-1550,2010EA9649,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1500-1550,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.854-1922,1922.0,O494885,dish,,China,unknown,,1650-1750,2010EB1762,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1750,17.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.1005-1922,1922.0,O494884,jar,,Jingdezhen,unknown,,16th century,2010EA9525,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1500-1600,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.118-1923,1923.0,O494883,dish,,Jingdezhen,unknown,,1500-1550,2010EB1823,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1500-1550,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1363-1924,1924.0,O494882,dish,,Jingdezhen,unknown,,1620-1640,2010CV1941,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1620-1640,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.87-1929,1929.0,O494878,dish,,Fujian,unknown,,17th century,2010EB1533,porcelain,painted,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1600-1700,17.0,fujian,"fujian, china",china,fujian,painted,,"26.193218, 118.2208721",26.193218,118.2208721
CIRC.394-1930,1930.0,O494870,dish,,Jingdezhen,unknown,,1522-1566,2010EB1524,porcelain,painted,jiajing,"ceramics, room 137, the curtain foundation gallery",False,False,1522-1566,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
FE.25-1982,1982.0,O494865,dish,,China,unknown,,1800-1900,2010EB1685,porcelain,painted,qing,in store,False,False,1800-1900,19.0,china,china,,china,painted,,"39.9057136, 116.3912972",39.9057136,116.3912972
C.225-1921,1921.0,O494864,jar,,Jingdezhen,unknown,,1522-1566,2010CV1908,porcelain,painted,jiajing,"ceramics, room 137, the curtain foundation gallery",False,False,1522-1566,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.112-1939,1939.0,O494863,vase,,Jingdezhen,unknown,,1640-1670,2010EB8190,porcelain,painted,ming,in store,False,False,1640-1670,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1159&A-1917,1917.0,O494811,jar and lid,,Jingdezhen,unknown,,1573-1620,2010EB8191,porcelain,blue and white,wanli,"ceramics, room 137, the curtain foundation gallery",False,False,1573-1620,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
1726-1876,1876.0,O494791,jar and lid,,China,,,1644-1911,2010ED9183,porcelain,glazing,,in store,False,False,1644-1911,17.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
688A-1878,1878.0,O494790,dish,,Arita,"koransha co., ltd",manufacturer,1875,2006BB6166,porcelain,blue and white,meiji,in store,False,False,1875,19.0,arita,"arita, japan",japan,arita,blue and white,blue and white,"33.192301, 129.8669613",33.192301,129.8669613
C.222-1916,1916.0,O494777,dish,,Dehua,unknown,,1700-1800,2010EA9368,porcelain,blue and white,qing,in store,False,False,1700-1800,18.0,dehua,"dehua, china",china,dehua,blue and white,blue and white,"25.4945484, 118.2362336",25.4945484,118.2362336
C.496&A-1921,1921.0,O494774,jar and lid,,Jingdezhen,unknown,,1450-1500,2010EB0423,porcelain,blue and white,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1450-1500,15.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.579-1921,1921.0,O494773,dish,,Jingdezhen,unknown,,1522-1566,2010EB1544,porcelain,blue and white,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1522-1566,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.614-1922,1922.0,O494772,jar,,Jingdezhen,unknown,,1500-1521,2010EA9539,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1500-1521,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.813-1922,1922.0,O494771,dish,,Dehua,unknown,,1750-1800,2010EA9326,porcelain,blue and white,qing,in store,False,False,1750-1800,18.0,dehua,"dehua, china",china,dehua,blue and white,blue and white,"25.4945484, 118.2362336",25.4945484,118.2362336
C.926&A-1922,1922.0,O494770,jar and lid,,Jingdezhen,unknown,,1488-1505,2010EB0426,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1488-1505,15.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.13&A-1923,1923.0,O494769,jar and cover,,Jingdezhen,unknown,,1488-1505,2010EB0175,porcelain,blue and white,hongzhi,"ceramics, room 137, the curtain foundation gallery",False,False,1488-1505,15.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.215-1923,1923.0,O494768,jar,,Jingdezhen,unknown,,1500-1550,2008BR9921,porcelain,blue and white,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1500-1550,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
C.53-1935,1935.0,O494744,vase,,China,,,1368-1644,2019LY9301,porcelain,glazing,,in store,False,False,1368-1644,14.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
FE.87-1975,1975.0,O494696,dish,,Jingdezhen,unknown,,1480-1520,2010EG8542,porcelain,glazed,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1480-1520,15.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1867-1921,1921.0,O494646,planter,,Jingdezhen,unknown,,1662-1772,2010EB0301,porcelain,blue and white,blue and white (asia),"ceramics, room 137, the curtain foundation gallery",False,False,1662-1772,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,blue and white,blue and white,"29.3582395, 117.2735595",29.3582395,117.2735595
