accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning,filtered_date,century,_primaryPlace_cleaned,countries_place,country,place,technique_filtered,color,coordinates,latitude,longitude
C.141-1988,1988.0,O161543,sculpture,Bølge og fugl,Oslo,"christensen, kari",maker,1984,2006BF5764,porcelain,incised,,"ceramics, room 139, the curtain foundation gallery",False,False,1984,20.0,oslo,"oslo, norway",norway,oslo,incising,,"59.9133301, 10.7389701",59.9133301,10.7389701
C.364-1993,1993.0,O154940,sculpture,Lust,England,"tchalenko, janice",maker,1993,2006BA0612,porcelain,modelled,,"ceramics, room 142, the lydia and manfred gorvy gallery",False,False,1993,20.0,england,england,,england,modelled,,"51.5074456, -0.1277653",51.5074456,-0.1277653
516-1905,1905.0,O150312,vase,,Longton,"moore, bernard",designer,1905,2010EC2313,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1905,20.0,longton,"longton, england",england,longton,,,"52.9888092, -2.1356561",52.9888092,-2.1356561
512-1905,1905.0,O150308,vase,,Longton,"moore, bernard",designer,1905,2010EC2383,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1905,20.0,longton,"longton, england",england,longton,,,"52.9888092, -2.1356561",52.9888092,-2.1356561
C.1126-1910,1910.0,O144397,cup,,Jingdezhen,unknown,,1683-1722,2008BR9900,porcelain,glazed,kangxi,"ceramics, room 145",False,False,1683-1722,17.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.1286-1910,1910.0,O144333,vase,,China,unknown,,ca. 1683-1710,2008BV1166,porcelain,glazed,qing,"ceramics, room 136, the curtain foundation gallery",False,False,1683-1710,17.0,china,china,,china,glazed,,"39.9057136, 116.3912972",39.9057136,116.3912972
CIRC.660-1919,1919.0,O346736,cup,,Belgium,tournai porcelain factory,manufactured,1776-1790,2019LK2024,porcelain,enamelling,,in store,False,False,1776-1790,18.0,belgium,belgium,,belgium,enamelled,,"50.8467372, 4.352493",50.8467372,4.352493
3350-1901,1901.0,O345670,plate,,Shropshire,caughley porcelain factory,manufacturer,1779-1799,2019LV0554,porcelain,transfer-printed,chinoiserie,in store,False,False,1779-1799,18.0,shropshire,"shropshire, england",england,shropshire,transfer-printed,,"52.6523394, -2.6435641",52.6523394,-2.6435641
3988-1901,1901.0,O345590,mug,,Staffordshire,unknown,,first half of 19th century,2009CR4741,porcelain,moulded,,in store,False,False,1800-1850,19.0,staffordshire,"staffordshire, england",england,staffordshire,moulded,,"52.8246942, -2.0074547",52.8246942,-2.0074547
4133-1901,1901.0,O345070,vase,,France,unknown,,middle of 19th century,2010EC3931,porcelain,glazed,,"ceramics, room 139, the curtain foundation gallery",False,False,1850,19.0,france,france,,france,glazed,,"48.8588897, 2.320041",48.8588897,2.320041
CIRC.102-1964,1964.0,O344644,figure,Night,Stoke-on-Trent,"monti, raffaelle",designer,1873,2009CB8622,porcelain,unglazed,parian,"ceramics, room 143, the timothy sainsbury gallery",False,False,1873,19.0,stoke-on-trent,"stoke-on-trent, england",england,stoke-on-trent,unglazed,,"53.0162014, -2.1812607",53.0162014,-2.1812607
C.1236-1917,1917.0,O343273,candelabrum,,Stoke-on-Trent,unknown,,ca. 1870,2010EC1217,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1870,19.0,stoke-on-trent,"stoke-on-trent, england",england,stoke-on-trent,painted,,"53.0162014, -2.1812607",53.0162014,-2.1812607
C.825-1925,1925.0,O342075,basket,,Derby,derby porcelain factory,manufacturer,ca. 1760-65,2010EK3792,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1760-1765,18.0,derby,"derby, england",england,derby,painted,,"52.9142235, -1.4719885",52.9142235,-1.4719885
340-1902,1902.0,O341975,jug,,France,,,19th century,2019MB7431,porcelain,moulded,,in store,False,False,1800-1900,19.0,france,france,,france,moulded,,"48.8588897, 2.320041",48.8588897,2.320041
C.250-1940,1940.0,O337100,figure,,Bow,bow porcelain factory,manufacturer,ca. 1760-1765,2010EB2246,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1760-1765,18.0,bow,"bow, england",england,bow,painted,,"51.5309383, -0.0274853",51.5309383,-0.0274853
C.253-1940,1940.0,O337098,figure,,Bow,bow porcelain factory,manufacturer,ca. 1765,2010CT4300,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1765,18.0,bow,"bow, england",england,bow,painted,,"51.5309383, -0.0274853",51.5309383,-0.0274853
C.660-1925,1925.0,O337044,figure,,Lowestoft,lowestoft porcelain factory,manufacturer,ca. 1765-1770,2010EJ1248,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1765-1770,18.0,lowestoft,"lowestoft, england",england,lowestoft,painted,,"52.4766308, 1.7537638",52.4766308,1.7537638
C.189-1940,1940.0,O337004,bust,Diana,Chelsea,chelsea porcelain factory,manufacturer,ca. 1753-1755,2010EC2482,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1753-1755,18.0,chelsea,"chelsea, england",england,chelsea,painted,,"51.4888554, -0.1653781",51.4888554,-0.1653781
1542&A-1903,1903.0,O336887,tea-bowl and saucer,,Worcester,worcester porcelain factory,maker,ca. 1765-1770,2010EC4494,porcelain,moulded,,"ceramics, room 139, the curtain foundation gallery",False,False,1765-1770,18.0,worcester,"worcester, england",england,worcester,moulded,,"52.1965281, -2.2095608",52.1965281,-2.2095608
C.2594-1910,1910.0,O336858,dish,,Worcester,worcester porcelain factory,maker,ca. 1770,2010DB0383,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1770,18.0,worcester,"worcester, england",england,worcester,painted,,"52.1965281, -2.2095608",52.1965281,-2.2095608
"1097:1, 2-1869",1869.0,O336826,jug and cover,,Worcester,worcester porcelain factory,maker,ca. 1765-85,2010EC4519,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1765-1785,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
3356&A-1901,1901.0,O336821,cup and saucer,,Worcester,worcester porcelain factory,manufacturer,ca. 1782-90,2010EC4556,porcelain,transfer-printed,chinoiserie,"ceramics, room 139, the curtain foundation gallery",False,False,1782-1790,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
C.91-1909,1909.0,O336818,teapot stand,,Worcester,worcester porcelain factory,maker,ca. 1775-1790,2010EC3456,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1775-1790,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
C.92&A-1909,1909.0,O336817,tea bowl and saucer,,Worcester,worcester porcelain factory,maker,ca. 1765-85,2010EC4502,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1765-1785,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
C.176-1916,1916.0,O336815,cup,,Worcester,worcester porcelain factory,maker,ca. 1775-85,2010EC4551,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1775-1785,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
C.1004 to B-1917,1917.0,O336813,butter dish,,Worcester,worcester porcelain factory,maker,ca. 1770-1790,2010EC2824,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1770-1790,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
